I0123 06:53:03.872569    7233 serve.go:43] cloudcode_cli (Dec 13 2024 19:12:39 -0800, cl:706081154 baseline:702868922)
I0123 06:53:06.070114    7233 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000cca9d9 StopSequences:map[] DataFilePromptLines:0}
I0123 06:53:06.070151    7233 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000cca9e9 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0123 06:53:06.070201    7233 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0123 06:53:06.070218    7233 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0123 06:53:06.070228    7233 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0123 06:53:06.070268    7233 configuration.go:281] Configured settings for canCancelRequests: true
I0123 06:53:06.070278    7233 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0123 06:53:06.071420    7233 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0123 06:53:06.071461    7233 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0123 06:53:06.071483    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:06.071494    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0123 06:53:06.431393    7233 server.go:633] unknown method "$/setTrace"
I0123 06:53:06.501110    7233 handler.go:159] cancel was requested for: 4, needs to be canceled: true
I0123 06:53:06.507291    7233 configuration.go:182] product updateChannel will be used
W0123 06:53:06.507364    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:06.507385    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0123 06:53:06.507408    7233 configuration.go:639] language thresholds: map[]
I0123 06:53:06.507434    7233 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0123 06:53:06.507463    7233 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000cae8c9 StopSequences:map[] DataFilePromptLines:0}
I0123 06:53:06.507536    7233 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000cae8d9 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0123 06:53:06.508212    7233 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0123 06:53:06.508267    7233 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0123 06:53:06.508281    7233 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0123 06:53:06.508343    7233 configuration.go:281] Configured settings for canCancelRequests: true
I0123 06:53:06.508365    7233 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0123 06:53:06.510978    7233 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0123 06:53:06.511043    7233 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0123 06:53:06.511087    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:06.511097    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0123 06:53:06.511132    7233 handler.go:146] req #4 skipped: context canceled
W0123 06:53:06.994791    7233 server.go:633] unknown method "$/setTrace"
I0123 06:53:07.007407    7233 configuration.go:182] product updateChannel will be used
W0123 06:53:07.007468    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:07.007485    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0123 06:53:07.007508    7233 configuration.go:639] language thresholds: map[]
I0123 06:53:07.007538    7233 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0123 06:53:07.007578    7233 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000ccbaf9 StopSequences:map[] DataFilePromptLines:0}
I0123 06:53:07.007621    7233 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000ccbb09 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0123 06:53:07.007678    7233 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0123 06:53:07.007700    7233 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0123 06:53:07.007711    7233 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0123 06:53:07.007753    7233 configuration.go:281] Configured settings for canCancelRequests: true
I0123 06:53:07.007774    7233 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0123 06:53:07.009999    7233 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0123 06:53:07.010065    7233 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0123 06:53:07.010095    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:07.010105    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0123 06:53:07.309889    7233 server.go:633] unknown method "$/setTrace"
I0123 06:53:07.330915    7233 configuration.go:182] product updateChannel will be used
W0123 06:53:07.330973    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:07.330989    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0123 06:53:07.331014    7233 configuration.go:639] language thresholds: map[]
I0123 06:53:07.331037    7233 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0123 06:53:07.331083    7233 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000caf649 StopSequences:map[] DataFilePromptLines:0}
I0123 06:53:07.331128    7233 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000caf659 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0123 06:53:07.331185    7233 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0123 06:53:07.331204    7233 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0123 06:53:07.331213    7233 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0123 06:53:07.331258    7233 configuration.go:281] Configured settings for canCancelRequests: true
I0123 06:53:07.331269    7233 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0123 06:53:07.332833    7233 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0123 06:53:07.332880    7233 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0123 06:53:07.332905    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:07.332915    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0123 06:53:15.930680    7233 server.go:633] unknown method "$/setTrace"
I0123 06:53:15.938231    7233 configuration.go:182] product updateChannel will be used
W0123 06:53:15.938299    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:15.938317    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0123 06:53:15.938337    7233 configuration.go:639] language thresholds: map[]
I0123 06:53:15.938363    7233 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0123 06:53:15.938391    7233 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000ceac19 StopSequences:map[] DataFilePromptLines:0}
I0123 06:53:15.938463    7233 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000ceac29 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0123 06:53:15.938526    7233 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0123 06:53:15.938560    7233 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0123 06:53:15.938570    7233 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0123 06:53:15.938611    7233 configuration.go:281] Configured settings for canCancelRequests: true
I0123 06:53:15.938622    7233 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0123 06:53:15.939726    7233 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0123 06:53:15.939776    7233 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0123 06:53:15.939807    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:15.939816    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0123 06:53:15.939847    7233 server.go:633] unknown method "$/setTrace"
I0123 06:53:15.943276    7233 configuration.go:182] product updateChannel will be used
W0123 06:53:15.943332    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:15.943348    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0123 06:53:15.943373    7233 configuration.go:639] language thresholds: map[]
I0123 06:53:15.943393    7233 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0123 06:53:15.943420    7233 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000d3c329 StopSequences:map[] DataFilePromptLines:0}
I0123 06:53:15.943464    7233 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000d3c339 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0123 06:53:15.943515    7233 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0123 06:53:15.943534    7233 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0123 06:53:15.943544    7233 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0123 06:53:15.943585    7233 configuration.go:281] Configured settings for canCancelRequests: true
I0123 06:53:15.943600    7233 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0123 06:53:15.944309    7233 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0123 06:53:15.944355    7233 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0123 06:53:15.944380    7233 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0123 06:53:15.944390    7233 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0123 06:53:15.944422    7233 server.go:633] unknown method "$/setTrace"
