I0124 13:14:32.871879   18245 serve.go:43] cloudcode_cli (Dec 13 2024 19:12:39 -0800, cl:706081154 baseline:702868922)
I0124 13:17:44.682951   18245 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0018e11c9 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0124 13:17:44.683016   18245 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0124 13:17:44.683036   18245 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0124 13:17:44.683054   18245 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0124 13:17:44.683097   18245 configuration.go:281] Configured settings for canCancelRequests: true
I0124 13:17:44.683110   18245 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0124 13:17:44.685171   18245 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0124 13:17:44.685259   18245 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0124 13:17:44.685285   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:44.685293   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0124 13:17:44.685325   18245 server.go:633] unknown method "$/setTrace"
I0124 13:17:44.685339   18245 handler.go:146] req #4 skipped: context canceled
I0124 13:17:44.685371   18245 handler.go:146] req #5 skipped: context canceled
I0124 13:17:44.691571   18245 configuration.go:182] product updateChannel will be used
W0124 13:17:44.691631   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:44.691647   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0124 13:17:44.691667   18245 configuration.go:639] language thresholds: map[]
I0124 13:17:44.691691   18245 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0124 13:17:44.691718   18245 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000b23309 StopSequences:map[] DataFilePromptLines:0}
I0124 13:17:44.691795   18245 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000b23319 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0124 13:17:44.691868   18245 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0124 13:17:44.691889   18245 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0124 13:17:44.691899   18245 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0124 13:17:44.691964   18245 configuration.go:281] Configured settings for canCancelRequests: true
I0124 13:17:44.691975   18245 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0124 13:17:44.693243   18245 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0124 13:17:44.693304   18245 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0124 13:17:44.693328   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:44.693336   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0124 13:17:44.693367   18245 server.go:633] unknown method "$/setTrace"
I0124 13:17:44.697045   18245 configuration.go:182] product updateChannel will be used
W0124 13:17:44.697101   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:44.697116   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0124 13:17:44.697136   18245 configuration.go:639] language thresholds: map[]
I0124 13:17:44.697158   18245 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0124 13:17:44.697188   18245 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0018064a9 StopSequences:map[] DataFilePromptLines:0}
I0124 13:17:44.697234   18245 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0018064b9 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0124 13:17:44.697308   18245 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0124 13:17:44.697326   18245 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0124 13:17:44.697338   18245 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0124 13:17:44.697376   18245 configuration.go:281] Configured settings for canCancelRequests: true
I0124 13:17:44.697385   18245 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0124 13:17:44.698593   18245 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0124 13:17:44.698641   18245 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0124 13:17:44.698663   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:44.698670   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0124 13:17:44.698702   18245 server.go:633] unknown method "$/setTrace"
I0124 13:17:44.704166   18245 configuration.go:182] product updateChannel will be used
W0124 13:17:44.704231   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:44.704246   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0124 13:17:44.704265   18245 configuration.go:639] language thresholds: map[]
I0124 13:17:44.704287   18245 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0124 13:17:44.704311   18245 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001806cb9 StopSequences:map[] DataFilePromptLines:0}
I0124 13:17:44.704348   18245 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001806cf9 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0124 13:17:44.704393   18245 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0124 13:17:44.704408   18245 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0124 13:17:44.704418   18245 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0124 13:17:44.704452   18245 configuration.go:281] Configured settings for canCancelRequests: true
I0124 13:17:44.704460   18245 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0124 13:17:44.705568   18245 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0124 13:17:44.705623   18245 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0124 13:17:44.705645   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:44.705666   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0124 13:17:58.284972   18245 server.go:633] unknown method "$/setTrace"
I0124 13:17:58.315762   18245 configuration.go:182] product updateChannel will be used
W0124 13:17:58.315838   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:58.315854   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0124 13:17:58.315873   18245 configuration.go:639] language thresholds: map[]
I0124 13:17:58.315895   18245 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0124 13:17:58.315920   18245 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000fb4929 StopSequences:map[] DataFilePromptLines:0}
I0124 13:17:58.315980   18245 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000fb4949 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0124 13:17:58.316033   18245 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0124 13:17:58.316050   18245 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0124 13:17:58.316059   18245 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0124 13:17:58.316096   18245 configuration.go:281] Configured settings for canCancelRequests: true
I0124 13:17:58.316105   18245 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0124 13:17:58.322102   18245 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0124 13:17:58.322169   18245 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0124 13:17:58.322196   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:58.322204   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
W0124 13:17:58.322241   18245 server.go:633] unknown method "$/setTrace"
I0124 13:17:58.328571   18245 configuration.go:182] product updateChannel will be used
W0124 13:17:58.328630   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0124 13:17:58.328646   18245 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0124 13:17:58.328666   18245 configuration.go:639] language thresholds: map[]
I0124 13:17:58.328689   18245 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0124 13:17:58.328715   18245 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000fb5869 StopSequences:map[] DataFilePromptLines:0}
I0124 13:17:58.328752   18245 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc000fb58d9 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0124 13:17:58.328831   18245 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0124 13:17:58.328861   18245 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0124 13:17:58.328871   18245 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0124 13:17:58.328908   18245 configuration.go:281] Configured settings for canCancelRequests: true
I0124 13:17:58.328918   18245 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0124 13:17:58.329960   18245 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
W0124 13:17:58.330023   18245 configuration.go:786] ignoring configuration value "ragl.maxFileSearchDepth" with type int, need float64
W0124 13:17:58.330046   18245 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
